label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,3t_Fo_Ratio
1,1405,653,39875,1,13,0,1,0,0,0,0.464768683,28.38078292
2,1561,290,227,2,0,0,1,0,0,1,0.185778347,0.145419603
1,6917,3383,52447,1,84,0,1,0,0,1,0.489084863,7.582333382
1,5814,950,111235,1,84,0,1,0,0,0,0.163398693,19.13226694
2,2230,701,130191,1,3,0,1,1,0,1,0.314349776,58.38161435
0,3314,1442,130667,3,1,1,1,0,0,1,0.435123718,39.42878696
2,2982,2559,65275,1,4,0,1,1,0,1,0.858148893,21.88967136
2,1656,680,90576,1,4,0,1,1,0,0,0.410628019,54.69565217
2,2510,589,100611,0,4,1,1,1,0,1,0.234661355,40.08406375
1,1354,1651,56819,1,13,0,1,0,0,0,1.219350074,41.96381093
2,2067,843,57638,1,0,0,1,1,0,1,0.407837446,27.88485728
1,2230,701,130191,2,162,0,1,0,0,1,0.314349776,58.38161435
2,27087,12976,22962,0,10,4,1,1,0,1,0.47904899,0.847712925
1,2510,589,100611,0,2,1,1,0,0,1,0.234661355,40.08406375
2,1325,534,5439,0,1,1,3,1,0,1,0.403018868,4.10490566
1,1142,358,6633,3,28,0,1,0,0,1,0.313485114,5.808231173
1,1091,215,53551,1,0,0,1,1,0,1,0.197066911,49.08432631
1,4322,3760,48033,3,28,0,1,0,0,0,0.869967608,11.11360481
1,1153,664,136391,1,4,0,1,0,0,0,0.575888985,118.292281
1,4637,753,23541,3,28,0,1,0,0,1,0.162389476,5.076773776
1,1153,664,136391,1,10,0,1,0,0,0,0.575888985,118.292281
1,15503,400,75669,3,28,0,1,0,0,0,0.025801458,4.880926272
1,1589,662,6527,1,5,0,1,0,0,1,0.416614223,4.107614852
1,1589,662,6527,1,8,0,1,0,0,1,0.416614223,4.107614852
2,2757,1989,49782,0,1,0,1,1,0,1,0.721436344,18.05658324
1,1928,2081,18792,3,3,0,1,0,0,1,1.079356846,9.746887967
1,1314,12,91725,1,0,1,1,0,0,1,0.00913242,69.80593607
1,4720,2210,27847,3,28,0,1,0,0,1,0.468220339,5.899788136
0,5035,1164,28041,1,0,1,1,0,0,0,0.231181728,5.569215492
2,2757,1989,49782,0,0,0,1,0,0,1,0.721436344,18.05658324
1,4747,1762,51533,3,3,0,1,0,0,1,0.371181799,10.855909
1,2958,2753,94118,1,8,0,1,0,0,1,0.930696416,31.81812035
1,1355015,563,298794,0,5,4,1,0,1,1,0.000415494,0.220509736
1,1355015,563,298794,0,4,5,1,0,1,1,0.000415494,0.220509736
2,2994,49,44957,3,41,0,1,1,0,1,0.016366065,15.01569806
1,2289,2024,40053,2,3,2,1,0,0,1,0.884228921,17.49803408
1,1355015,563,298794,0,8,5,1,0,1,1,0.000415494,0.220509736
1,2715,887,224075,1,84,0,1,0,0,0,0.326703499,82.53222836
